created_at,text,in_reply_to_status_id_str,source,in_reply_to_screen_name,contributors,quoted_status_id,quote_count,reply_count,retweet_count,favorite_count,retweeted,followers_count
12/19/2019 8:20,"On behalf of my family, I wish @bukolasaraki a very happy birthday. May Allah grant you many more years in good health and continued service to Nigeria. -AA https://t.co/YYHcR3AaSX",,Twitter for iPhone,,,Not Availabe,Not Availabe,Not Availabe,1227,10787,,
12/15/2019 16:08,How sweet of my grandchildren to bring me a belated birthday cake. #smiles https://t.co/gjak4bGmdt,,Twitter for iPhone,,,Not Availabe,Not Availabe,Not Availabe,943,11928,,
12/15/2019 7:53,"On behalf of my family, I thank those present and also well-wishers for their prayers at the Wedding Fatiha of my dear son, @HHMustaphaAA and his wife, Afrah El-Nafaty. May Allah bless you all for making it a truly special day for me and my family. -AA https://t.co/a6xniZXW1l",,Twitter for iPhone,,,Not Availabe,Not Availabe,Not Availabe,714,6539,,
12/13/2019 15:51,I congratulate @BorisJohnson on his reelection as Prime Minister of the United Kingdom. -AA,,Twitter for iPhone,,,Not Availabe,Not Availabe,Not Availabe,639,5373,,
12/10/2019 9:44,"#HumanRightsDay means that the global human community abhors dictatorial regimes. To celebrate this day therefore, I again call for the immediate release of all prisoners of good conscience in Nigeria and demand a jettisoning of repressive legislation against free speech - AA.",,Twitter for iPhone,,,Not Availabe,Not Availabe,Not Availabe,822,3380,,
12/9/2019 10:25,"On behalf of my family and well-wishers, I wish General T.Y Danjuma, a foremost officer and business tycoon a happy 82nd birthday anniversary. God bless you. Best wishes. -AA",,Twitter for iPhone,,,Not Availabe,Not Availabe,Not Availabe,502,4790,,
12/7/2019 22:21,Great to see @anthonyfjoshua reclaim the championship. A good fight. -AA https://t.co/CZCJWC9Cnr,,Twitter for iPhone,,,Not Availabe,Not Availabe,Not Availabe,2530,19433,,
12/7/2019 17:53,Grandpa duties. #smiles https://t.co/Z6gQ9ePGM9,,Twitter for iPhone,,,Not Availabe,Not Availabe,Not Availabe,2817,26024,,
12/6/2019 16:15,To keep Nigeria a democracy is the paramount duty of all concerned stakeholders. Please speak up against this tyranny and side with the Nigerian people.,1.20E+18,Twitter for iPhone,atiku,,Not Availabe,Not Availabe,Not Availabe,967,2684,,
12/6/2019 16:15,"Without the rule of law, there can be no rule at all. Power in Nigeria still flows from the people, not from the barrel of a gun. I call on all men and women of goodwill not to keep quiet or sit on the fence at times like this.",1.20E+18,Twitter for iPhone,atiku,,Not Availabe,Not Availabe,Not Availabe,997,2492,,
12/6/2019 16:15,We cannot have a situation where our government is quick to obey foreign court orders and even quicker to disobey domestic court orders. This is symptomatic of a mindset that is servile to foreign powers and brutal to Nigerians.,1.20E+18,Twitter for iPhone,atiku,,Not Availabe,Not Availabe,Not Availabe,815,1950,,
12/6/2019 16:15,"I further call for all law enforcement agencies in Nigeria to immediately respect not just the court order made by Justice Ojukwu, but the order of any court in Nigeria, on any detainee, be it Omoyele Sowore, Sambo Dasuki or Ibrahim Zakzaky, among others.",1.20E+18,Twitter for iPhone,atiku,,Not Availabe,Not Availabe,Not Availabe,846,1959,,
